Date,Open,High,Low,Close,Adj Close,Volume
2001-06-04,12150.000000,12250.000000,12050.000000,12050.000000,6745.048828,1226000
2001-06-11,12100.000000,13150.000000,12100.000000,12500.000000,6996.940918,17027000
2001-06-18,12500.000000,13650.000000,12350.000000,13650.000000,7640.655762,20566000
2001-06-25,13650.000000,13800.000000,12750.000000,13200.000000,7388.767090,14752500
2001-07-02,13200.000000,13200.000000,12750.000000,13000.000000,7276.817383,3628000
2001-07-09,12950.000000,13200.000000,12900.000000,13050.000000,7304.804199,5224500
2001-07-16,13100.000000,13550.000000,12900.000000,13400.000000,7500.718750,9782000
2001-07-23,13750.000000,14100.000000,12750.000000,12900.000000,7220.840332,16613500
2001-07-30,12900.000000,13100.000000,12250.000000,12350.000000,6912.975586,4945000
2001-08-06,12300.000000,12600.000000,12000.000000,12250.000000,6856.999512,8638500
2001-08-13,12250.000000,12400.000000,11600.000000,11650.000000,6521.146973,6731500
2001-08-20,11650.000000,12200.000000,11650.000000,12050.000000,6745.048828,6385000
2001-08-27,12150.000000,12700.000000,11950.000000,12200.000000,6829.012695,13549000
2001-09-03,12200.000000,12500.000000,12050.000000,12300.000000,6884.987305,5943500
2001-09-10,12300.000000,12300.000000,10950.000000,11050.000000,6185.293457,10053000
2001-09-17,10850.000000,11050.000000,10000.000000,10650.000000,5961.390625,12556500
2001-09-24,10650.000000,10800.000000,9950.000000,10000.000000,5597.551270,6053000
2001-10-01,10050.000000,10100.000000,9100.000000,9750.000000,5457.611328,13066500
2001-10-08,9250.000000,9550.000000,8800.000000,9500.000000,5317.673340,6049000
2001-10-15,9500.000000,9650.000000,9350.000000,9550.000000,5345.659668,3586000
2001-10-22,9500.000000,9750.000000,9250.000000,9750.000000,5457.611328,7346000
2001-10-29,9600.000000,9650.000000,8800.000000,8850.000000,4953.832031,15761000
2001-11-05,8900.000000,9050.000000,8700.000000,8850.000000,4953.832031,5137000
2001-11-12,8600.000000,8750.000000,7950.000000,8600.000000,4813.893066,16548500
2001-11-19,8600.000000,8950.000000,8300.000000,8350.000000,4673.955078,11294500
2001-11-26,8300.000000,8550.000000,8250.000000,8300.000000,4645.966797,6731000
2001-12-03,8300.000000,8550.000000,7950.000000,8400.000000,4701.943359,12766000
2001-12-10,8400.000000,8500.000000,8100.000000,8150.000000,4562.003906,4220500
2001-12-17,8150.000000,8250.000000,8050.000000,8150.000000,4562.003906,1398000
2001-12-24,8150.000000,8650.000000,8100.000000,8650.000000,4841.881348,6051000
